name,year.AD,Delta14C_permil
IntCal13_interpolated,1750,3.951769991
IntCal13_interpolated,1751,3.922141791
IntCal13_interpolated,1752,3.88995074
IntCal13_interpolated,1753,3.852645431
IntCal13_interpolated,1754,3.807674453
IntCal13_interpolated,1755,3.752486399
IntCal13_interpolated,1756,3.683264323
IntCal13_interpolated,1757,3.591129143
IntCal13_interpolated,1758,3.465936238
IntCal13_interpolated,1759,3.297540988
IntCal13_interpolated,1760,3.075798775
IntCal13_interpolated,1761,2.795727088
IntCal13_interpolated,1762,2.472991857
IntCal13_interpolated,1763,2.12842112
IntCal13_interpolated,1764,1.782842915
IntCal13_interpolated,1765,1.457085282
IntCal13_interpolated,1766,1.168198395
IntCal13_interpolated,1767,0.918120965
IntCal13_interpolated,1768,0.705013841
IntCal13_interpolated,1769,0.527037871
IntCal13_interpolated,1770,0.382353902
IntCal13_interpolated,1771,0.265136959
IntCal13_interpolated,1772,0.153618769
IntCal13_interpolated,1773,0.022045237
IntCal13_interpolated,1774,-0.155337732
IntCal13_interpolated,1775,-0.404284234
IntCal13_interpolated,1776,-0.744729643
IntCal13_interpolated,1777,-1.173334444
IntCal13_interpolated,1778,-1.680940401
IntCal13_interpolated,1779,-2.258389278
IntCal13_interpolated,1780,-2.896522838
IntCal13_interpolated,1781,-3.582907239
IntCal13_interpolated,1782,-4.292006226
IntCal13_interpolated,1783,-4.995007934
IntCal13_interpolated,1784,-5.663100502
IntCal13_interpolated,1785,-6.267472067
IntCal13_interpolated,1786,-6.783715079
IntCal13_interpolated,1787,-7.205039227
IntCal13_interpolated,1788,-7.529058513
IntCal13_interpolated,1789,-7.75338694
IntCal13_interpolated,1790,-7.875638508
IntCal13_interpolated,1791,-7.893616772
IntCal13_interpolated,1792,-7.805883505
IntCal13_interpolated,1793,-7.611190031
IntCal13_interpolated,1794,-7.308287675
IntCal13_interpolated,1795,-6.895927762
IntCal13_interpolated,1796,-6.378688539
IntCal13_interpolated,1797,-5.784455944
IntCal13_interpolated,1798,-5.146942836
IntCal13_interpolated,1799,-4.499862075
IntCal13_interpolated,1800,-3.876926522
IntCal13_interpolated,1801,-3.304594767
IntCal13_interpolated,1802,-2.780308335
IntCal13_interpolated,1803,-2.29425448
IntCal13_interpolated,1804,-1.836620459
IntCal13_interpolated,1805,-1.397593525
IntCal13_interpolated,1806,-0.969040546
IntCal13_interpolated,1807,-0.549546829
IntCal13_interpolated,1808,-0.139377292
IntCal13_interpolated,1809,0.261203144
IntCal13_interpolated,1810,0.651929563
IntCal13_interpolated,1811,1.031284103
IntCal13_interpolated,1812,1.392737131
IntCal13_interpolated,1813,1.728506073
IntCal13_interpolated,1814,2.030808353
IntCal13_interpolated,1815,2.291861398
IntCal13_interpolated,1816,2.505601061
IntCal13_interpolated,1817,2.672836917
IntCal13_interpolated,1818,2.796096971
IntCal13_interpolated,1819,2.877909226
IntCal13_interpolated,1820,2.920801687
IntCal13_interpolated,1821,2.927960049
IntCal13_interpolated,1822,2.90520078
IntCal13_interpolated,1823,2.858998038
IntCal13_interpolated,1824,2.795825983
